,Chemistry,amine,cyclocarbonate,hydroxyl,isocyanate
27,urethane,,,[#8](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
28,urethane,,,[#8](-[#6](-[#6]1(-[#6](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6]1(-[#6](-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[#6]-1(-[H])-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H]
29,urethane,,,[#8](-[#6](-[#6](-[#8]-[#6](-[#6](-[#8]-[#6](-[#6](-[#8]-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#6](-[#6]1(-[#6](-[H])(-[H])-[H])-[#6](-[#6](-[#7]=[#6]=[#8])(-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[#6](-[#7]=[#6]=[#8])(-[H])-[H])-[#6]-1(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])(-[H])(-[H])-[H]
30,urethane,,,[#8](-[#6]1=[#6](-[#6](=[#6](-[#6](-[#8]-[H])=[#6]-1-[H])-[H])-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6]1=[#6](-[#6](=[#6]2-[#6](=[#6]-1-[H])-[#6](=[#8])-[#7](-[#6]1=[#6](-[#6](=[#6](-[#6]3=[#6](-[#6](-[#6]4=[#6](-[#6](=[#6](-[#6]5=[#6](-[#6](=[#6](-[#6](=[#6]-5-[H])-[H])-[H])-[H])-[H])-[#6](=[#6]-4-[H])-[H])-[H])-[H])=[#6](-[#6](-[#6]4=[#6](-[#6](=[#6](-[#7]5-[#6](=[#8])-[#6]6=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-6-[#6]-5=[#8])-[H])-[H])-[H])-[#6](=[#6]-4-[H])-[H])-[H])-[H])=[#6]-3-[H])-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[#6]-2=[#8])-[H])-[H]
31,urethane,,,[#8](-[#6](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#6](-[#6]1(-[#6](-[H])(-[H])-[H])-[#6](-[#6](-[#7]=[#6]=[#8])(-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[#6](-[#7]=[#6]=[#8])(-[H])-[H])-[#6]-1(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])(-[H])(-[H])-[H]
32,urethane,,,[#8](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
33,urethane,,,[#8]=[#7+](-[#8-])-[#6]1=[#6](-[#6](=[#6](-[#7]=[#7]-[#6]2=[#6](-[#6](=[#6](-[#7](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[#6](=[#6]-2-[H])-[H])-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
34,urethane,,,[#8](-[#6]1=[#6](-[#6](=[#6]2-[#6](=[#6](-[#6](=[#6](-[#6]-2=[#6]-1-[#6]1=[#6](-[#8]-[H])-[#6](=[#6](-[#6]2=[#6](-[#6](=[#6](-[#6](=[#6]-1-2)-[H])-[H])-[H])-[H])-[H])-[H])-[H])-[H])-[H])-[H])-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6]1=[#6](-[#6](=[#6]2-[#6](=[#6]-1-[H])-[#6](=[#8])-[#7](-[#6]1=[#6](-[#6](=[#6](-[#6]3=[#6](-[#6](-[#6]4=[#6](-[#6](=[#6](-[#6]5=[#6](-[#6](=[#6](-[#6](=[#6]-5-[H])-[H])-[H])-[H])-[H])-[#6](=[#6]-4-[H])-[H])-[H])-[H])=[#6](-[#6](-[#6]4=[#6](-[#6](=[#6](-[#7]5-[#6](=[#8])-[#6]6=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-6-[#6]-5=[#8])-[H])-[H])-[H])-[#6](=[#6]-4-[H])-[H])-[H])-[H])=[#6]-3-[H])-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[#6]-2=[#8])-[H])-[H]
35,urethane,,,[#8]=[#15](-[#6]1=[#6](-[#6](=[#6](-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[H])(-[#6]1=[#6](-[#6](=[#6](-[#8]-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[#6]1=[#6](-[#6](=[#6](-[#8]-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6]1=[#6](-[#6](=[#6]2-[#6](=[#6]-1-[H])-[#6](=[#8])-[#7](-[#6]1=[#6](-[#6](=[#6](-[#15](=[#8])(-[#6]3=[#6](-[#6](=[#6](-[#6](=[#6]-3-[H])-[H])-[H])-[H])-[H])-[#6]3=[#6](-[#6](=[#6](-[#7]4-[#6](=[#8])-[#6]5=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-5-[#6]-4=[#8])-[H])-[H])-[H])-[#6](=[#6]-3-[H])-[H])-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[#6]-2=[#8])-[H])-[H]
36,urethane,,,[#8](-[#6](-[#6]1=[#6](-[#6](=[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])=[#7]-1)-[H])-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
37,urethane,,,[#8](-[#6](-[#6](-[#8]-[#6](-[#6](-[#8]-[#6](-[#6](-[#8]-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
38,urethane,,,[#8](-[#6]1=[#6](-[#6](=[#6](-[#6]2=[#6](-[#6](=[#6](-[#8]-[H])-[#6](=[#6]-2-[H])-[H])-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6]1=[#6](-[#6](=[#6]2-[#6](=[#6]-1-[H])-[#6](=[#8])-[#7](-[#6]1=[#6](-[#6](=[#6](-[#6]3=[#6](-[#6](-[#6]4=[#6](-[#6](=[#6](-[#6]5=[#6](-[#6](=[#6](-[#6](=[#6]-5-[H])-[H])-[H])-[H])-[H])-[#6](=[#6]-4-[H])-[H])-[H])-[H])=[#6](-[#6](-[#6]4=[#6](-[#6](=[#6](-[#7]5-[#6](=[#8])-[#6]6=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-6-[#6]-5=[#8])-[H])-[H])-[H])-[#6](=[#6]-4-[H])-[H])-[H])-[H])=[#6]-3-[H])-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[#6]-2=[#8])-[H])-[H]
39,urethane,,,[#8](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[H],[#6](-[#6]1(-[#6](-[H])(-[H])-[H])-[#6](-[#6](-[#7]=[#6]=[#8])(-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[#6](-[#7]=[#6]=[#8])(-[H])-[H])-[#6]-1(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])(-[H])(-[H])-[H]
40,urethane,,,[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[#6]1=[#6](-[#6](=[#6](-[#8]-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[#6]1=[#6](-[#6](=[#6](-[#8]-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])(-[H])(-[H])-[H],[#6](-[#15](=[#8])(-[#6]1=[#6](-[#6](=[#6](-[#7]2-[#6](=[#8])-[#6]3=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-3-[#6]-2=[#8])-[H])-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[#6]1=[#6](-[#6](=[#6](-[#7]2-[#6](=[#8])-[#6]3=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-3-[#6]-2=[#8])-[H])-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])(-[H])(-[H])-[H]
41,urethane,,,[#8]=[#7+](-[#8-])-[#6]1=[#6](-[#6](=[#6](-[#7]=[#7]-[#6]2=[#6](-[#6](=[#6](-[#7](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[#6](=[#6]-2-[H])-[H])-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6]1=[#6](-[#6](=[#6](-[#6](-[#6]2=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-2-[H])-[H])-[H])-[H])(-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H]
42,urethane,,,[#8](-[#6](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6]1=[#6](-[#6](=[#6](-[#6](-[#6]2=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-2-[H])-[H])-[H])-[H])(-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H]
43,urethane,,,[#8](-[#6](-[#6](-[#8]-[#6]1=[#6](-[#6](=[#6](-[#6](-[#6]2=[#6](-[#6](=[#6](-[#8]-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[#6](=[#6]-2-[H])-[H])-[H])-[H])(-[#6](-[#9])(-[#9])-[#9])-[#6](-[#9])(-[#9])-[#9])-[#6](=[#6]-1-[H])-[H])-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#6](-[#15](=[#8])(-[#6]1=[#6](-[#6](=[#6](-[#7]2-[#6](=[#8])-[#6]3=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-3-[#6]-2=[#8])-[H])-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[#6]1=[#6](-[#6](=[#6](-[#7]2-[#6](=[#8])-[#6]3=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-3-[#6]-2=[#8])-[H])-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])(-[H])(-[H])-[H]
44,urethane,,,[#6](-[#7](-[#6](-[H])(-[H])-[H])-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[#6](-[#8]-[H])(-[H])-[H])-[#6](-[#8]-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[#6](-[#8]-[H])(-[H])-[H])-[#6](-[#7](-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])(-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
45,urethane,,,[#8](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#6](-[#6]1(-[#6](-[H])(-[H])-[H])-[#6](-[#6](-[#7]=[#6]=[#8])(-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[#6](-[#7]=[#6]=[#8])(-[H])-[H])-[#6]-1(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])(-[H])(-[H])-[H]
46,urethane,,,[#8](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
47,urethane,,,[#8](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
48,urethane,,,[#8](-[#6](-[#6]1=[#6](-[#6](=[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])=[#7]-1)-[H])-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6]1=[#6](-[#6](=[#6](-[#6](-[#6]2=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-2-[H])-[H])-[H])-[H])(-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H]
49,urethane,,,[#8](-[#6](-[#6]1(-[#6](-[#6]2(-[#6]3(-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[#6](-[#6]-3(-[H])-[H])(-[#6]-2(-[#6]-1(-[H])-[H])-[H])-[H])-[H])(-[H])-[H])-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6]1(-[#6](-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[#6]-1(-[H])-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H]
50,urethane,,,[#8](-[#6](-[#6]1(-[#6](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
51,urethane,,,[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[#6]1=[#6](-[#6](=[#6](-[#8]-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[#6]1=[#6](-[#6](=[#6](-[#8]-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])(-[H])(-[H])-[H],[#8]=[#6]=[#7]-[#6]1=[#6](-[#6](=[#6]2-[#6](=[#6]-1-[H])-[#6](=[#8])-[#7](-[#6]1=[#6](-[#6](=[#6](-[#15](=[#8])(-[#6]3=[#6](-[#6](=[#6](-[#6](=[#6]-3-[H])-[H])-[H])-[H])-[H])-[#6]3=[#6](-[#6](=[#6](-[#7]4-[#6](=[#8])-[#6]5=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-5-[#6]-4=[#8])-[H])-[H])-[H])-[#6](=[#6]-3-[H])-[H])-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[#6]-2=[#8])-[H])-[H]
52,urethane,,,[#8](-[#6](-[#6]1(-[#6](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6]1(-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[#6](-[#6]-1(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])(-[H])-[H])-[H]
53,urethane,,,[#8](-[#6](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6]1(-[#6](-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[#6]-1(-[H])-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H]
54,urethane,,,[#8](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
55,urethane,,,[#8](-[#6]1=[#6](-[#6](=[#6](-[#6](-[#8]-[H])=[#6]-1-[H])-[H])-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6]1=[#6](-[#6](=[#6]2-[#6](=[#6]-1-[H])-[#6](=[#8])-[#7](-[#6]1=[#6](-[#6](=[#6](-[#6]3=[#6](-[#6](-[#6]4=[#6](-[#6](=[#6](-[#6]5=[#6](-[#6](=[#6](-[#6](=[#6]-5-[H])-[H])-[H])-[H])-[H])-[#6](=[#6]-4-[H])-[H])-[H])-[H])=[#6](-[#6](-[#6]4=[#6](-[#6](=[#6](-[#7]5-[#6](=[#8])-[#6]6=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-6-[#6]-5=[#8])-[H])-[H])-[H])-[#6](=[#6]-4-[H])-[H])-[H])-[H])=[#7]-3)-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[#6]-2=[#8])-[H])-[H]
56,urethane,,,[#8](-[#6](-[#6]1(-[#6](-[#6]2(-[#6]3(-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[#6](-[#6]-3(-[H])-[H])(-[#6]-2(-[#6]-1(-[H])-[H])-[H])-[H])-[H])(-[H])-[H])-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])-[H],[#6](-[#6]1(-[#6](-[H])(-[H])-[H])-[#6](-[#6](-[#7]=[#6]=[#8])(-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[#6](-[#7]=[#6]=[#8])(-[H])-[H])-[#6]-1(-[H])-[H])(-[H])-[H])-[H])(-[H])-[H])(-[H])(-[H])-[H]
57,urethane,,,[#8](-[#6]1=[#6](-[#6](=[#6](-[#7]=[#6](-[#6]2=[#6](-[#6](=[#6](-[#6](=[#7]-[#6]3=[#6](-[#6](=[#6](-[#8]-[H])-[#6](=[#6]-3-[H])-[H])-[H])-[H])-[H])-[#6](=[#6]-2-[H])-[H])-[H])-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6]1=[#6](-[#6](=[#6](-[#6](-[#6]2=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-2-[H])-[H])-[H])-[H])(-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H]
58,urethane,,,[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[#6]1=[#6](-[#6](-[#35])=[#6](-[#8]-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[#6](-[#35])=[#6]-1-[H])-[H])-[#6]1=[#6](-[#6](-[#35])=[#6](-[#8]-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[#6](-[#35])=[#6]-1-[H])-[H])(-[H])(-[H])-[H],[#8]=[#6]=[#7]-[#6]1=[#6](-[#6](=[#6]2-[#6](=[#6]-1-[H])-[#6](=[#8])-[#7](-[#6]1=[#6](-[#6](=[#6](-[#15](=[#8])(-[#6]3=[#6](-[#6](=[#6](-[#6](=[#6]-3-[H])-[H])-[H])-[H])-[H])-[#6]3=[#6](-[#6](=[#6](-[#7]4-[#6](=[#8])-[#6]5=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-5-[#6]-4=[#8])-[H])-[H])-[H])-[#6](=[#6]-3-[H])-[H])-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[#6]-2=[#8])-[H])-[H]
59,urethane,,,[#8](-[#6](-[#6](-[#8]-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#8]=[#6]=[#7]-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H]
60,urethane,,,[#8](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#8]-[#6]1=[#6](-[#6](=[#6](-[#6]2=[#6](-[#6](=[#6](-[#8]-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[#6](=[#6]-2-[H])-[H])-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#6](-[#6]1=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-1-[#7]=[#6]=[#8])-[H])-[H])-[H])(-[H])(-[H])-[H]
61,urethane,,,[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[#6]1=[#6](-[#6](=[#6](-[#8]-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[#6]1=[#6](-[#6](=[#6](-[#8]-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])(-[H])(-[H])-[H],[#8]=[#6]=[#7]-[#6]1=[#6](-[#6](=[#6]2-[#6](=[#6]-1-[H])-[#6](=[#8])-[#7](-[#6]1=[#6](-[#6](=[#6](-[#6]3=[#6](-[#6](-[#6]4=[#6](-[#6](=[#6](-[#6]5=[#6](-[#6](=[#6](-[#6](=[#6]-5-[H])-[H])-[H])-[H])-[H])-[#6](=[#6]-4-[H])-[H])-[H])-[H])=[#6](-[#6](-[#6]4=[#6](-[#6](=[#6](-[#7]5-[#6](=[#8])-[#6]6=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-6-[#6]-5=[#8])-[H])-[H])-[H])-[#6](=[#6]-4-[H])-[H])-[H])-[H])=[#6]-3-[H])-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H])-[#6]-2=[#8])-[H])-[H]
62,urethane,,,[#8]=[#7+](-[#8-])-[#6]1=[#6](-[#7]=[#6](-[#7]=[#7]-[#6]2=[#6](-[#6](=[#6](-[#7](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])-[#6](=[#6]-2-[H])-[H])-[H])-[H])-[#16]-1)-[H],[#8]=[#6]=[#7]-[#6]1=[#6](-[#6](=[#6](-[#6](-[#6]2=[#6](-[#6](=[#6](-[#7]=[#6]=[#8])-[#6](=[#6]-2-[H])-[H])-[H])-[H])(-[H])-[H])-[#6](=[#6]-1-[H])-[H])-[H])-[H]
63,urethane,,,[#8](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#8]-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H],[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](=[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#6](-[#7]=[#6]=[#8])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])-[H])-[H])(-[H])-[H])(-[#7]=[#6]=[#8])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H])(-[H])(-[H])-[H]
